filepath,class,domain,label,cae_score,patchcore_score,padim_score,dinov2_score
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/aa330d9f-d7a0-4bad-8f95-d6e11a1f95bf___R.S_HL 7893 copy.jpg,healthy,plantvillage,0,0.0008971977,2.2647448,4.575489,28.770687
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1970b015-02d3-405a-a1d7-3457a6977557___R.S_HL 7891 copy 2.jpg,healthy,plantvillage,0,0.0013370337,2.3291636,4.3198185,28.31168
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fe50a4b4-0e43-47d7-afdf-de6544ebbec9___R.S_HL 7952 copy 2.jpg,healthy,plantvillage,0,0.0005752408,2.4123306,4.916883,27.77488
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4511c343-1fb9-450f-9991-7fc433034f7a___R.S_HL 7996 copy.jpg,healthy,plantvillage,0,0.00081764226,2.2723126,4.1200757,27.345757
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/41273258-e17c-44e1-a12d-bf8582235994___R.S_HL 0650 copy 3.jpg,healthy,plantvillage,0,0.001669608,2.1737542,4.857946,25.956573
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2cd74832-29e5-441a-84b1-5bc5379c16c2___R.S_HL 8111 copy.jpg,healthy,plantvillage,0,0.0010351124,2.2565835,4.342055,25.309044
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/140c237b-266b-4ea2-a13e-bbc8915dc53a___R.S_HL 5495 copy 2.jpg,healthy,plantvillage,0,0.00080106955,2.4381561,4.764801,26.146845
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/254d1f23-8a22-4f21-9d5e-0c66733f102f___R.S_HL 8083 copy.jpg,healthy,plantvillage,0,0.0011991191,2.499137,4.649067,29.077938
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/dc1b347c-03b4-468d-9c9a-bebdc467d3c0___R.S_HL 0650 copy.jpg,healthy,plantvillage,0,0.0010740774,2.4024596,4.7316957,27.097275
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e42857cd-7a60-4b42-9bbb-28d3154fe7f1___R.S_HL 8138 copy.jpg,healthy,plantvillage,0,0.00030266214,2.2428267,3.8160555,26.98632
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3b17dc66-b280-4a74-a698-e0ad3d00ea79___R.S_HL 8168 copy.jpg,healthy,plantvillage,0,0.0002909063,2.165378,4.1497526,27.822365
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f066fbc0-7910-46af-bcff-cb06cef2177d___R.S_HL 7951 copy.jpg,healthy,plantvillage,0,0.0006669222,2.1784883,4.230333,27.10773
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9fcbdd37-3bc2-44b1-aa8a-08a1f85ea5bf___R.S_HL 0606 copy 2.jpg,healthy,plantvillage,0,0.00066539587,1.9679792,4.721669,26.48539
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/af57ac04-46ad-4655-81f3-4fc4a01d1c1a___R.S_HL 8238 copy 2.jpg,healthy,plantvillage,0,0.0002520751,2.367928,4.3434315,28.606466
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/bafc5f95-f5c7-422e-a728-6db014fb35f0___R.S_HL 8212 copy 2.jpg,healthy,plantvillage,0,0.000736485,2.0524023,3.7291505,24.48215
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/70b37163-3817-4d1e-98eb-75ba4ef240ea___R.S_HL 7927 copy.jpg,healthy,plantvillage,0,0.0012461862,2.4479136,4.7631445,26.581482
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/69164aa5-b1d2-4f9c-af47-54b6fa610296___R.S_HL 8080 copy 2.jpg,healthy,plantvillage,0,0.0005856283,2.2721164,4.265695,25.795467
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/feddfdfa-14e3-4919-a527-814888364871___R.S_HL 5530 copy.jpg,healthy,plantvillage,0,0.0007722356,2.5940304,5.0388813,27.474041
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/721f6f6c-9f41-487d-82cc-1bbe2fa55b61___R.S_HL 0617 copy 3.jpg,healthy,plantvillage,0,0.0009139359,2.272587,4.1416163,28.052519
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3d7b536d-9c3c-4ac4-9027-1e7f3c1be0a6___R.S_HL 8215 copy.jpg,healthy,plantvillage,0,0.0005833965,2.2078042,3.918615,26.770206
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ca48bf18-8687-40b7-93b2-c85adf03e507___R.S_HL 5546 copy.jpg,healthy,plantvillage,0,0.0008140068,2.4148424,4.736347,27.98772
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ae2d73a4-c6e2-4b85-aaa7-3027e2a2c6a9___R.S_HL 5564 copy.jpg,healthy,plantvillage,0,0.0019490685,2.5484083,5.1797824,28.009275
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/dfadedc1-b741-451c-9871-a8f7ba9db906___R.S_HL 7969 copy 2.jpg,healthy,plantvillage,0,0.00039392788,2.1960013,4.1857786,28.583359
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5c4c7615-f758-4dfd-a277-1dc94aa94a95___R.S_HL 8343 copy.jpg,healthy,plantvillage,0,0.00040919695,2.2554574,3.91687,27.80354
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/88ceaf86-c010-42d0-b1d2-8ee4f17655d5___R.S_HL 8210 copy.jpg,healthy,plantvillage,0,0.0014812493,2.569458,5.1136966,28.761932
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5c0f3b34-c38c-440e-80b4-202662c1e9c1___R.S_HL 8070 copy 2.jpg,healthy,plantvillage,0,0.0006210284,2.272216,4.3093696,27.989937
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1a6053ad-4783-490e-bf0f-292af5a4dfa7___R.S_HL 8165 copy 2.jpg,healthy,plantvillage,0,0.0005048214,2.1701202,3.8978403,25.915598
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/74a4c1f4-26e2-4861-bcc8-16d26f215387___R.S_HL 8300 copy 2.jpg,healthy,plantvillage,0,0.00032169494,2.190401,3.6824353,26.660755
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/af750927-82e2-4089-a40f-b4c86eec3118___R.S_HL 7883 copy.jpg,healthy,plantvillage,0,0.0005814898,2.270962,4.230884,28.929438
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8927572e-48ce-4933-a9f8-0a491d7b5bc2___R.S_HL 8310 copy.jpg,healthy,plantvillage,0,0.0016302092,2.4652112,4.6257496,29.263237
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fe301311-6c07-49d8-933a-aa10287b205e___R.S_HL 8220 copy 4.jpg,healthy,plantvillage,0,0.00066198816,2.247262,4.3718038,27.653526
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/62d6481b-2d3f-4998-83f9-7071b5fd9446___R.S_HL 8290 copy.jpg,healthy,plantvillage,0,0.00047145633,2.3472524,4.2872324,27.769442
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/16c3cff6-3abb-4af5-979a-9ab375e4a9b1___R.S_HL 5562 copy.jpg,healthy,plantvillage,0,0.0005773683,2.051389,4.1108947,27.710993
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8d131c52-5327-4883-bb72-9b3df34dd7a9___R.S_HL 8220 copy 3.jpg,healthy,plantvillage,0,0.00048679634,2.047035,3.742375,26.0676
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5face5cd-e150-42f5-8ae6-eef79c43b05b___R.S_HL 8010 copy 2.jpg,healthy,plantvillage,0,0.0010231492,2.4875116,4.9272943,31.771824
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/74fd304e-662f-4b5c-a6d5-22b293c99a4d___R.S_HL 5492 copy 2.jpg,healthy,plantvillage,0,0.0008743514,2.461782,4.7321134,26.318043
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a6af632c-f017-40b4-a16a-182269a5a0d7___R.S_HL 0652 copy.jpg,healthy,plantvillage,0,0.0017678046,2.372069,4.8638234,29.452446
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/cbea79a3-7a68-4d16-b509-c84f333f9a38___R.S_HL 8137 copy 2.jpg,healthy,plantvillage,0,0.0008008102,2.4263344,4.9951544,28.649628
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/461baed2-cdf3-4ce0-9812-65f34484bb35___R.S_HL 8031 copy  3.jpg,healthy,plantvillage,0,0.00054430304,2.3086836,4.280794,30.271076
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ff3d5051-494b-414e-adac-dd9c0e313dda___R.S_HL 8055 copy 2.jpg,healthy,plantvillage,0,0.0005728661,2.057287,3.8536246,26.227222
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f09ff96a-fb4b-47c4-887e-2734dadb7feb___R.S_HL 8166 copy 2.jpg,healthy,plantvillage,0,0.0004741432,2.1700356,3.8848321,25.836676
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4a960b84-d0be-4118-83bf-24c46678b7f6___R.S_HL 0624 copy 2.jpg,healthy,plantvillage,0,0.0011865896,2.086423,4.757505,25.238428
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1c94fdf8-0f7e-4e39-bdae-c542a6c3c755___R.S_HL 8280 copy.jpg,healthy,plantvillage,0,0.00038703703,2.2079177,4.048228,26.452837
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7399e301-9493-4e45-8674-aa1f676d6d92___R.S_HL 7900 copy 3.jpg,healthy,plantvillage,0,0.0011055369,2.3144217,4.223292,27.825214
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5bed19a9-9318-4160-926f-c2c641995c1e___R.S_HL 8167 copy 2.jpg,healthy,plantvillage,0,0.0005248405,2.1510293,3.747709,26.025406
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9d37aa23-994e-41b8-8f4c-1e11a05506cf___R.S_HL 8046 copy.jpg,healthy,plantvillage,0,0.0008442914,2.3617003,4.587124,27.385681
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a359473f-0671-4c8d-babd-64921e1babe1___R.S_HL 5552 copy.jpg,healthy,plantvillage,0,0.0011282957,2.6100233,5.14454,26.871508
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4619bdbf-5229-4af8-9bdc-1a9b3a25c817___R.S_HL 8263 copy.jpg,healthy,plantvillage,0,0.00029289746,2.1912591,3.7926874,28.674706
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a0940ca1-3040-4432-99a6-83979e94cdf5___R.S_HL 8035 copy 2.jpg,healthy,plantvillage,0,0.0006773979,2.3450959,4.4684396,26.766499
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c7f3bbd2-2aec-4031-9af0-9fb7653e6ae9___R.S_HL 8188 copy 2.jpg,healthy,plantvillage,0,0.0006518843,2.1699607,3.926393,25.734512
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fa7d8ffc-4e21-4a6d-9042-63fa7e4a1df0___R.S_HL 0636 copy 3.jpg,healthy,plantvillage,0,0.001444733,2.146155,4.8213954,25.984783
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f8f2663a-df9b-4c0b-bddc-0f0c6fc5c7cf___R.S_HL 8126 copy.jpg,healthy,plantvillage,0,0.0005806549,2.476348,4.873714,27.601223
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2930a76c-f0f6-4880-8ec7-f06aaaf257d1___R.S_HL 8155 copy.jpg,healthy,plantvillage,0,0.00039525222,2.282537,4.2021227,25.573162
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fd97c512-f9cf-42ce-9a67-48951418db99___R.S_HL 7935 copy 3.jpg,healthy,plantvillage,0,0.0022260454,2.6009934,5.2163606,27.152588
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1fb30be0-c5e0-4e31-a9e4-329194e87cd7___R.S_HL 8134 copy.jpg,healthy,plantvillage,0,0.00029502925,2.0739973,3.8667226,25.164692
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7ebb0c77-b07d-421f-b593-3e2dc3f92254___R.S_HL 8306 copy 2.jpg,healthy,plantvillage,0,0.00067098334,2.194108,4.0460014,25.986
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/624c0cfa-3729-4f6c-9236-1c3a4ee66431___R.S_HL 8214 copy.jpg,healthy,plantvillage,0,0.0006797892,2.2386758,4.064239,24.989592
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/13b74f08-faed-40d7-8771-b1fc384e5e4a___R.S_HL 8259 copy 2.jpg,healthy,plantvillage,0,0.0003575771,2.1646256,3.9723947,26.711042
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1b2f5c24-e2af-47cf-b9c2-f2b8c4c25a3f___R.S_HL 7990 copy.jpg,healthy,plantvillage,0,0.0006876362,2.215454,4.283634,25.98064
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/53be8546-8213-4568-a469-31e19edd1ec4___R.S_HL 7892 copy 2.jpg,healthy,plantvillage,0,0.0010101574,2.6106515,5.255007,32.430252
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9fc7cf37-b583-491c-adc3-a391edc73aae___R.S_HL 7973 copy 2.jpg,healthy,plantvillage,0,0.0008173079,2.3303835,4.2530603,28.159548
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8063bae7-2a39-449b-b3f4-7004e86c45de___R.S_HL 8277 copy 2.jpg,healthy,plantvillage,0,0.00037659876,2.218263,4.3725095,28.212824
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1f5c2a29-e3b6-4d3e-9fbc-019d6bf7ed94___R.S_HL 0614 copy 2.jpg,healthy,plantvillage,0,0.0009363563,2.3247228,4.4582515,26.654392
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a694e61f-3a63-40ac-9a31-66732cf9921d___R.S_HL 8116 copy 2.jpg,healthy,plantvillage,0,0.0009906911,2.1890512,4.1163177,26.44444
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/354890d4-ba2a-43b3-a97c-f9108c480ccd___R.S_HL 8174 copy 2.jpg,healthy,plantvillage,0,0.0004051962,2.2653313,4.2978606,27.40559
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f21eae95-ba11-4eeb-bd33-e003535bbaea___R.S_HL 8164 copy.jpg,healthy,plantvillage,0,0.00075377,2.4929178,5.106036,30.447989
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/caf84ecd-be68-434b-8a0c-86cdccd4eb94___R.S_HL 8036 copy.jpg,healthy,plantvillage,0,0.00086308154,2.340424,4.866901,27.154243
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/12bab18c-050a-4f66-b15d-49a8e19a8d06___R.S_HL 0616.JPG,healthy,plantvillage,0,0.00086048665,2.4752676,4.8356514,27.494339
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/71288499-1409-445f-b3af-40310f50471c___R.S_HL 7904 copy 2.jpg,healthy,plantvillage,0,0.0012336408,2.3433137,4.6477914,26.113457
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/99020386-3a33-4b62-b707-2986786393c3___R.S_HL 8200 copy.jpg,healthy,plantvillage,0,0.00032633846,2.1474395,3.572261,25.902721
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9ea8e303-02c0-457b-a5ae-b48052a8aee1___R.S_HL 8264 copy 2.jpg,healthy,plantvillage,0,0.0006331135,2.0096867,3.8044202,25.696308
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/28be876d-e1c7-4c86-8241-0077b1393ac0___R.S_HL 7972 copy.jpg,healthy,plantvillage,0,0.00087019743,2.316074,4.1635604,27.27637
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a72de5a7-34e6-484d-b4a9-b047ae3a77b2___R.S_HL 7881 copy.jpg,healthy,plantvillage,0,0.0007910167,2.5854611,5.483584,29.854427
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/26f3cea7-cffe-4d2e-8e72-491a61653fb8___R.S_HL 0626 copy 3.jpg,healthy,plantvillage,0,0.00099372,2.1145968,4.3752055,27.629868
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fec7d3b4-736b-4d95-92cb-2e8b302f7488___R.S_HL 8306 copy.jpg,healthy,plantvillage,0,0.00040098405,2.2705505,4.0067263,25.588642
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/93b1bb29-3a7c-4465-8fbe-ca961c1b9bb0___R.S_HL 8121 copy.jpg,healthy,plantvillage,0,0.0013725583,2.237684,4.5432587,26.606613
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5df427b4-e962-426c-8572-3a173e109832___R.S_HL 8338 copy 2.jpg,healthy,plantvillage,0,0.00047140368,2.2348483,4.41129,26.570015
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/433a363a-c354-4972-bd8c-b3fcee49a336___R.S_HL 8302 copy 2.jpg,healthy,plantvillage,0,0.00019843967,2.2096856,4.015843,26.784796
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fb7c73e2-6f3a-4dcc-bc31-217f37512d68___R.S_HL 8293 copy.jpg,healthy,plantvillage,0,0.00070902926,2.325112,3.9762497,29.402527
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/95afbc6c-3e3a-4d1f-8933-d7cd73f1e8a1___R.S_HL 0612 copy.jpg,healthy,plantvillage,0,0.0004988753,2.3512979,4.535092,25.618607
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b7214149-73ad-481e-9227-c9fe77f10477___R.S_HL 7896 copy 2.jpg,healthy,plantvillage,0,0.0005738796,2.2234964,4.241139,25.704752
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/44f2a3c4-6e69-40d8-9aec-ba79a37a767d___R.S_HL 5529 copy.jpg,healthy,plantvillage,0,0.0010838981,2.5064394,5.2176642,28.020012
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0487da8b-736c-4310-82d2-fa8acf4aed07___R.S_HL 0646 copy 3.jpg,healthy,plantvillage,0,0.0009040636,2.5065591,4.7579813,30.95605
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/799436ad-dbb3-4019-b150-db9e005a03a8___R.S_HL 5502 copy 2.jpg,healthy,plantvillage,0,0.0011082356,2.4308958,5.427195,27.280146
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c5f181df-88f9-4b33-8e95-d17a3de8a80f___R.S_HL 8178 copy 2.jpg,healthy,plantvillage,0,0.0004531649,2.0236268,4.273998,24.816563
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5fd226ef-ae5a-45e8-bacc-c34f6d9aa94f___R.S_HL 8327 copy 2.jpg,healthy,plantvillage,0,0.0011018156,2.3697062,4.7058396,28.63378
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b5f20d48-e6ab-401c-81b4-58e5147576b3___R.S_HL 8141 copy 2.jpg,healthy,plantvillage,0,0.0005789701,2.3240452,4.1518145,28.222778
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/febf9991-3178-49f7-a46d-fe4177e8502a___R.S_HL 7982 copy.jpg,healthy,plantvillage,0,0.00044828313,2.2515528,4.1552286,26.79803
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/57414792-9bc5-40c2-b7cb-b764a2531225___R.S_HL 8152 copy.jpg,healthy,plantvillage,0,0.00031037227,2.1199262,3.5583527,24.994686
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0b799242-624f-46fb-acd3-a9352e8b4213___R.S_HL 8216 copy 2.jpg,healthy,plantvillage,0,0.00044956975,2.1225462,3.6356075,26.535824
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e2b6e2e6-4b4a-46be-8459-153661e95d35___R.S_HL 5535 copy.jpg,healthy,plantvillage,0,0.00065740524,2.4237542,4.3647423,29.974018
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/641fd2fc-a98e-44c7-bac6-5e626aad8747___R.S_HL 8140 copy.jpg,healthy,plantvillage,0,0.00014864211,2.325153,4.1687455,31.372475
